R_ID,zone,Resource,Resource,THERM,DISP,NDISP,STOR,DR,HEAT,NACC,HYDRO,TRADER,RPS,CES,Num_VRE_bins,Commit,Min_Share,Max_Share,Existing_Cap_MW,Existing_Charge_Cap_MW,Existing_Cap_MWh,Existing_Charge_Cap_MWh,New_Build,Cap_size,Max_Cap_MW,Min_Share_percent,Max_Share_percent,Inv_cost_per_MWyr,Inv_cost_per_MWhyr,Fixed_OM_cost_per_MWyr,Var_OM_cost_per_MWh,Externality_cost_MWh,Start_cost_per_MW_alt,Start_cost_per_MW,Start_cost,Start_fuel_MMBTU_per_MW,Start_fuel_MMBTU_per_start,Heat_rate_MMBTU_per_MWh,Fuel,Min_power,Self_disch,Eff_up,Eff_down,Ratio_power_to_energy,Min_Duration,Max_Duration,Max_DSM_delay,Max_DSM_advance,DSM_energy_eff,Ramp_Up_percentage,Ramp_Dn_percentage,Up_time,Down_time,NACC_Eff,NACC_Peak_to_Base,Reg_Up,Reg_Dn,Rsv_Up,Rsv_Dn,Reg_Cost,Rsv_Cost,voltage_level,Min_Cap_MW,Fixed_OM_cost_per_MWhyr,Var_OM_cost_per_MWh_in,Fixed_CAP,Fixed_CAP_MW,Inv_cost_charge_per_MWyr,Fixed_OM_cost_charge_per_MWyr,InveterLoadRatio,EtaInverter,Hydro_Res_flexibility_days,VRE,Min_Cap_MW,Min_Charge_Cap_MW,Max_Charge_Cap_MW,Min_Cap_MWh,Max_Cap_MWh,Reg_Max,Rsv_Max,Ratio_energy_to_power,FLEX,MUST_RUN
63,2,PHS,PHS_2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1540,0,0,0,-1,1,1700,0,0,256600,0,41000,0,0,0,0,0,0,0,0,none,0,0,0.894427191,0.894427191,0.083333333,12,12,0,0,0,1,1,0,0,1,0,1,1,1,1,0,0,trans,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,1,1,12.00000005,0,0
64,3,PHS,PHS_3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,31,0,0,0,0,1,31,0,0,0,0,0,0,0,0,0,0,0,0,0,none,0,0,0.894427191,0.894427191,0.083333333,12,12,0,0,0,1,1,0,0,1,0,1,1,1,1,0,0,trans,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,1,1,12.00000005,0,0
65,5,PHS,PHS_5,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1000,0,0,0,0,1,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,none,0,0,0.894427191,0.894427191,0.083333333,12,12,0,0,0,1,1,0,0,1,0,1,1,1,1,0,0,trans,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,1,1,12.00000005,0,0
66,6,PHS,PHS_6,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,240,0,0,0,-1,1,2240,0,0,114000,0,41000,0,0,0,0,0,0,0,0,none,0,0,0.894427191,0.894427191,0.083333333,12,12,0,0,0,1,1,0,0,1,0,1,1,1,1,0,0,trans,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,1,1,12.00000005,0,0
67,1,Storage_bat,Storage_bat_1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,-1,0,0,12000,13000,2000,0,0,0,0,0,0,0,0,none,0,4.17E-05,0.921954446,0.921954446,0,0.25,200,0,0,0,1,1,0,0,1,0,1,1,1,1,0,0,trans,-1,3000,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,1,1,0,0,0
68,2,Storage_bat,Storage_bat_2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,-1,0,0,12000,13000,2000,0,0,0,0,0,0,0,0,none,0,4.17E-05,0.921954446,0.921954446,0,0.25,200,0,0,0,1,1,0,0,1,0,1,1,1,1,0,0,trans,-1,3000,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,1,1,0,0,0
69,3,Storage_bat,Storage_bat_3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,-1,0,0,12000,13000,2000,0,0,0,0,0,0,0,0,none,0,4.17E-05,0.921954446,0.921954446,0,0.25,200,0,0,0,1,1,0,0,1,0,1,1,1,1,0,0,trans,-1,3000,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,1,1,0,0,0
70,4,Storage_bat,Storage_bat_4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,-1,0,0,12000,13000,2000,0,0,0,0,0,0,0,0,none,0,4.17E-05,0.921954446,0.921954446,0,0.25,200,0,0,0,1,1,0,0,1,0,1,1,1,1,0,0,trans,-1,3000,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,1,1,0,0,0
71,5,Storage_bat,Storage_bat_5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,-1,0,0,12000,13000,2000,0,0,0,0,0,0,0,0,none,0,4.17E-05,0.921954446,0.921954446,0,0.25,200,0,0,0,1,1,0,0,1,0,1,1,1,1,0,0,trans,-1,3000,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,1,1,0,0,0
72,6,Storage_bat,Storage_bat_6,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,-1,0,0,12000,13000,2000,0,0,0,0,0,0,0,0,none,0,4.17E-05,0.921954446,0.921954446,0,0.25,200,0,0,0,1,1,0,0,1,0,1,1,1,1,0,0,trans,-1,3000,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,1,1,0,0,0
73,2,PV_Distr,PV_Distr_2,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1524.2,0,0,0,1,1,-1,0,0,60000,0,6000,0,0,0,0,0,0,0,0,none,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,trans,3047,0,0,0,0,0,0,0,0,0,1,0,0,-1,0,-1,0,0,0,0,0
74,3,PV_Distr,PV_Distr_3,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,498.2,0,0,0,1,1,-1,0,0,60000,0,6000,0,0,0,0,0,0,0,0,none,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,trans,1208.6,0,0,0,0,0,0,0,0,0,1,0,0,-1,0,-1,0,0,0,0,0
75,4,PV_Distr,PV_Distr_4,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,725.2427184,0,0,0,1,1,-1,0,0,60000,0,6000,0,0,0,0,0,0,0,0,none,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,trans,1127.184466,0,0,0,0,0,0,0,0,0,1,0,0,-1,0,-1,0,0,0,0,0
76,5,PV_Distr,PV_Distr_5,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,611.6504854,0,0,0,1,1,-1,0,0,60000,0,6000,0,0,0,0,0,0,0,0,none,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,trans,1220.38835,0,0,0,0,0,0,0,0,0,1,0,0,-1,0,-1,0,0,0,0,0
77,6,PV_Distr,PV_Distr_6,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,470.8737864,0,0,0,1,1,-1,0,0,60000,0,6000,0,0,0,0,0,0,0,0,none,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,trans,1631.067961,0,0,0,0,0,0,0,0,0,1,0,0,-1,0,-1,0,0,0,0,0
